Isolate.ID,DirTax_Class,Cluster.x,data,TotalIso.x,Inhibitory.x,NonInhibitory.x,Null,Contam,prop.inhib,prop.noninhib,prop.na,prop.contam,Closest_Cluster,Inhibition,DirTax_Phylum,Cluster.y,TotalIso.y,Inhibitory.y,NonInhibitory.y
Mada.1,Actinobacteria,519,,6,3,3,0,0,50,50,0,0,NA,Inhibitory,Actinobacteria,519,,4,1
Mada.100,Flavobacteriia,520,,3,3,0,0,0,100,0,0,0,0.2181127055338033,Inhibitory,Bacteroidetes,520,,NA,NA
Mada.1002,Actinobacteria,521,,2,0,2,0,0,0,100,0,0,0.029178981187104807,Inhibitory,Actinobacteria,521,,NA,NA
Mada.1007,Flavobacteriia,523,,4,2,0,2,0,50,0,50,0,0.2181127055338033,Inhibitory,Bacteroidetes,523,,NA,NA
Mada.1084,Actinobacteria,527,,1,1,0,0,0,100,0,0,0,NA,Inhibitory,Actinobacteria,527,,NA,NA
Mada.1116,Actinobacteria,1012,,1,0,1,0,0,0,100,0,0,0.03930472205319513,NonInhibitory,Actinobacteria,1012,,NA,NA
Mada.1119,Actinobacteria,529,,13,8,4,1,0,61.53846153846154,30.76923076923077,7.6923076923076925,0,0.029178981187104807,Inhibitory,Actinobacteria,529,,9,2
Mada.1127,Actinobacteria,530,,3,0,2,1,0,0,66.66666666666666,33.33333333333333,0,0.009594243810637363,NonInhibitory,Actinobacteria,530,,NA,NA
Mada.1132,Bacilli,531,,3,0,3,0,0,0,100,0,0,0.11223486748816469,NonInhibitory,Firmicutes,531,,NA,NA
Mada.1147,Actinobacteria,1015,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,1015,,NA,NA
Mada.1166,Alphaproteobacteria,948,,9,6,3,0,0,66.66666666666666,33.33333333333333,0,0,0.1484199306765846,Inhibitory,Proteobacteria,948,,7,1
Mada.117,Actinobacteria,534,,1,0,1,0,0,0,100,0,0,0.04878370208537284,Inhibitory,Actinobacteria,534,,NA,NA
Mada.118,Betaproteobacteria,832,,2,0,2,0,0,0,100,0,0,0.0800519808431103,Inhibitory,Proteobacteria,832,,NA,NA
Mada.1183,Actinobacteria,1016,,4,1,1,2,0,25,25,50,0,0.009594243810637363,NonInhibitory,Actinobacteria,1016,,NA,NA
Mada.1187,Actinobacteria,1017,,1,0,0,1,0,0,0,100,0,0.07036102839653707,NonInhibitory,Actinobacteria,1017,,NA,NA
Mada.1189,Alphaproteobacteria,949,,2,0,2,0,0,0,100,0,0,0.10177258839965977,NonInhibitory,Proteobacteria,949,,NA,NA
Mada.1193,Alphaproteobacteria,1265,,2,0,0,2,0,0,0,100,0,0.10177258839965977,Inhibitory,Proteobacteria,1265,,NA,NA
Mada.1194,Actinobacteria,1007,,1,1,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,1007,,NA,NA
Mada.1196,Actinobacteria,1019,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,1019,,NA,NA
Mada.1198,Actinobacteria,1008,,9,6,2,1,0,66.66666666666666,22.22222222222222,11.11111111111111,0,0.019249182349643845,Inhibitory,Actinobacteria,1008,,7,1
Mada.1216,Alphaproteobacteria,950,,4,0,4,0,0,0,100,0,0,0.01915019210494203,NonInhibitory,Proteobacteria,950,,NA,NA
Mada.122,Alphaproteobacteria,395,,4,1,3,0,0,25,75,0,0,0.08055119721559012,Inhibitory,Proteobacteria,395,,2,1
Mada.1228,Alphaproteobacteria,945,,1,1,0,0,0,100,0,0,0,0.0191775987018107,NonInhibitory,Proteobacteria,945,,NA,NA
Mada.1235,Actinobacteria,1010,,1,0,1,0,0,0,100,0,0,0.1021826406603695,NonInhibitory,Actinobacteria,1010,,NA,NA
Mada.124,Actinobacteria,919,,4,1,3,0,0,25,75,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,919,,1,2
Mada.1249,Actinobacteria,757,,2,0,2,0,0,0,100,0,0,0.029178981187104807,NonInhibitory,Actinobacteria,757,,NA,NA
Mada.1251,Bacilli,536,,1,0,1,0,0,0,100,0,0,0.029178981187104807,NonInhibitory,Firmicutes,536,,NA,NA
Mada.1254,Bacilli,507,,1,0,1,0,0,0,100,0,0,0.009594243810637363,Inhibitory,Firmicutes,507,,NA,NA
Mada.126,Gammaproteobacteria,819,,1,0,1,0,0,0,100,0,0,0.1016071773748716,Inhibitory,Proteobacteria,819,,NA,NA
Mada.1263,Actinobacteria,835,,38,4,29,3,1,10.526315789473683,76.31578947368422,7.894736842105263,2.631578947368421,0.019249182349643845,NonInhibitory,Actinobacteria,835,,4,10
Mada.1273,Actinobacteria,836,,2,0,1,1,0,0,50,50,0,0.029178981187104807,Inhibitory,Actinobacteria,836,,NA,NA
Mada.1283,Actinobacteria,820,,1,1,0,0,0,100,0,0,0,0.029178981187104807,NonInhibitory,Actinobacteria,820,,NA,NA
Mada.1296,Actinobacteria,822,,2,2,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,822,,NA,NA
Mada.1298,Actinobacteria,839,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,839,,NA,NA
Mada.1299,Actinobacteria,840,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,840,,NA,NA
Mada.1301,Actinobacteria,841,,1,1,0,0,0,100,0,0,0,0.009594243810637363,Inhibitory,Actinobacteria,841,,NA,NA
Mada.1327,Bacilli,509,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Firmicutes,509,,NA,NA
Mada.134,Actinobacteria,920,,2,2,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,920,,NA,NA
Mada.1342,Actinobacteria,823,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,823,,NA,NA
Mada.1343,Alphaproteobacteria,912,,1,0,0,1,0,0,0,100,0,0.04878370208537284,NonInhibitory,Proteobacteria,912,,NA,NA
Mada.1358,Gammaproteobacteria,770,,3,3,0,0,0,100,0,0,0,0.09019784606232512,Inhibitory,Proteobacteria,770,,NA,NA
Mada.1359,Actinobacteria,1058,,9,8,0,1,0,88.88888888888889,0,11.11111111111111,0,0.009594243810637363,Inhibitory,Actinobacteria,1058,,NA,NA
Mada.136,Alphaproteobacteria,396,,3,0,3,0,0,0,100,0,0,0.01915019210494203,NonInhibitory,Proteobacteria,396,,NA,NA
Mada.1365,Bacilli,510,,15,3,11,1,0,20,73.33333333333333,6.666666666666667,0,0.009594243810637363,NonInhibitory,Firmicutes,510,,3,1
Mada.1418,Actinobacteria,1230,,1,0,1,0,0,0,100,0,0,0.029178981187104807,NonInhibitory,Actinobacteria,1230,,NA,NA
Mada.1495,Gammaproteobacteria,114,,2,0,2,0,0,0,100,0,0,0.09103021820305197,NonInhibitory,Proteobacteria,114,,NA,NA
Mada.1497,Flavobacteriia,19,,1,0,1,0,0,0,100,0,0,0.019249182349643845,NonInhibitory,Bacteroidetes,19,,NA,NA
Mada.1515,Flavobacteriia,953,,4,0,1,3,0,0,25,75,0,0.019249182349643845,NonInhibitory,Bacteroidetes,953,,NA,NA
Mada.1516,Actinobacteria,1079,,1,1,0,0,0,100,0,0,0,0.029178981187104807,Inhibitory,Actinobacteria,1079,,NA,NA
Mada.1518,Actinobacteria,1064,,6,5,0,1,0,83.33333333333334,0,16.666666666666664,0,0.019249182349643845,Inhibitory,Actinobacteria,1064,,NA,NA
Mada.1523,Betaproteobacteria,737,,12,10,2,0,0,83.33333333333334,16.666666666666664,0,0,0.07982206888254785,Inhibitory,Proteobacteria,737,,NA,NA
Mada.1537,Alphaproteobacteria,771,,1,1,0,0,0,100,0,0,0,0.039195853928646725,NonInhibitory,Proteobacteria,771,,NA,NA
Mada.155,Gammaproteobacteria,824,,2,2,0,0,0,100,0,0,0,0.06921564333478349,NonInhibitory,Proteobacteria,824,,NA,NA
Mada.1553,Alphaproteobacteria,542,,1,1,0,0,0,100,0,0,0,0.01915019210494203,NonInhibitory,Proteobacteria,542,,NA,NA
Mada.1559,Gammaproteobacteria,461,,2,2,0,0,0,100,0,0,0,0.09019784606232512,Inhibitory,Proteobacteria,461,,NA,NA
Mada.1561,Gammaproteobacteria,447,,1,0,0,0,1,0,0,0,100,0.09019784606232512,Inhibitory,Proteobacteria,447,,NA,NA
Mada.1564,Actinobacteria,42,,67,4,59,0,2,5.970149253731343,88.05970149253731,0,2.9850746268656714,0.019249182349643845,NA,Actinobacteria,42,,4,18
Mada.157,Gammaproteobacteria,825,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Proteobacteria,825,,NA,NA
Mada.160,Gammaproteobacteria,828,,1,1,0,0,0,100,0,0,0,0.06921564333478349,NonInhibitory,Proteobacteria,828,,NA,NA
Mada.1649,Actinobacteria,249,,1,0,1,0,0,0,100,0,0,0.029178981187104807,NonInhibitory,Actinobacteria,249,,NA,NA
Mada.166,Betaproteobacteria,845,,5,2,3,0,0,40,60,0,0,0.07982206888254785,Inhibitory,Proteobacteria,845,,NA,NA
Mada.1670,Bacilli,1200,,2,0,0,2,0,0,0,100,0,0.009594243810637363,Inhibitory,Firmicutes,1200,,NA,NA
Mada.168,Actinobacteria,922,,1,1,0,0,0,100,0,0,0,0.029178981187104807,NonInhibitory,Actinobacteria,922,,NA,NA
Mada.1700,Actinobacteria,219,,3,0,3,0,0,0,100,0,0,0.058935623130406484,NonInhibitory,Actinobacteria,219,,NA,NA
Mada.1712,Actinobacteria,876,,2,0,1,1,0,0,50,50,0,0.019249182349643845,NA,Actinobacteria,876,,NA,NA
Mada.1716,Bacilli,545,,2,1,0,1,0,50,0,50,0,0.009594243810637363,NonInhibitory,Firmicutes,545,,NA,NA
Mada.1739,Actinobacteria,889,,1,1,0,0,0,100,0,0,0,0.029178981187104807,Inhibitory,Actinobacteria,889,,NA,NA
Mada.1752,Actinobacteria,877,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,877,,NA,NA
Mada.1759,Actinobacteria,909,,1,1,0,0,0,100,0,0,0,0.049210951519452845,Inhibitory,Actinobacteria,909,,NA,NA
Mada.1766,Actinobacteria,910,,4,0,4,0,0,0,100,0,0,0.029034015554278775,NonInhibitory,Actinobacteria,910,,NA,NA
Mada.1783,Actinobacteria,870,,1,0,0,0,0,0,0,0,0,0.01915019210494203,NonInhibitory,Actinobacteria,870,,NA,NA
Mada.1792,Alphaproteobacteria,936,,1,0,1,0,0,0,100,0,0,0.0387888067146182,Facilitating,Proteobacteria,936,,NA,NA
Mada.1793,Actinobacteria,890,,1,0,1,0,0,0,100,0,0,0.01915019210494203,Inhibitory,Actinobacteria,890,,NA,NA
Mada.180,Actinobacteria,1371,,2,2,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,1371,,NA,NA
Mada.1808,Actinobacteria,891,,1,1,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,891,,NA,NA
Mada.1816,Actinobacteria,892,,2,2,0,0,0,100,0,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,892,,NA,NA
Mada.1817,Sphingobacteriia,797,,3,0,3,0,0,0,100,0,0,0.123281773085057,NonInhibitory,Bacteroidetes,797,,NA,NA
Mada.1826,Actinobacteria,894,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,894,,NA,NA
Mada.1837,Actinobacteria,879,,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,879,,2,1
Mada.184,Bacilli,546,,1,0,1,0,0,0,100,0,0,0.058935623130406484,Inhibitory,Firmicutes,546,,NA,NA
Mada.1842,Actinobacteria,880,,6,1,1,4,0,16.666666666666664,16.666666666666664,66.66666666666666,0,0.009594243810637363,Inhibitory,Actinobacteria,880,,2,1
Mada.1844,Actinobacteria,212,,6,4,0,1,0,66.66666666666666,0,16.666666666666664,0,0.019249182349643845,NA,Actinobacteria,212,,NA,NA
Mada.1849,Actinobacteria,897,,2,0,2,0,0,0,100,0,0,0.009594243810637363,Inhibitory,Actinobacteria,897,,NA,NA
Mada.1852,Bacilli,745,,2,0,2,0,0,0,100,0,0,0.10124599761785043,NonInhibitory,Firmicutes,745,,NA,NA
Mada.1853,Actinobacteria,161,,4,0,3,0,0,0,75,0,0,0.009594243810637363,NA,Actinobacteria,161,,NA,NA
Mada.1858,Gammaproteobacteria,1072,,1,1,0,0,0,100,0,0,0,0.039573998201307706,Inhibitory,Proteobacteria,1072,,NA,NA
Mada.1865,Sphingobacteriia,1093,,1,1,0,0,0,100,0,0,0,0.0612391129476996,NonInhibitory,Bacteroidetes,1093,,NA,NA
Mada.1873,Alphaproteobacteria,1209,,1,1,0,0,0,100,0,0,0,0.0387888067146182,Inhibitory,Proteobacteria,1209,,NA,NA
Mada.1883,Actinobacteria,547,,2,1,1,0,0,50,50,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,547,,NA,NA
Mada.1888,Gammaproteobacteria,1073,,2,2,0,0,0,100,0,0,0,0.06011734498111734,Inhibitory,Proteobacteria,1073,,NA,NA
Mada.1905,Bacilli,1066,,1,1,0,0,0,100,0,0,0,0.019524042648098323,NonInhibitory,Firmicutes,1066,,NA,NA
Mada.1907,Actinobacteria,1171,,2,0,2,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,1171,,NA,NA
Mada.1926,Actinobacteria,213,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,213,,NA,NA
Mada.195,Alphaproteobacteria,435,,3,0,3,0,0,0,100,0,0,0.028944220067369103,Contam,Proteobacteria,435,,NA,NA
Mada.1952,Actinobacteria,1163,,2,0,0,2,0,0,0,100,0,0.009594243810637363,Inhibitory,Actinobacteria,1163,,NA,NA
Mada.1954,Actinobacteria,189,,2,1,1,0,0,50,50,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,189,,NA,NA
Mada.1965,Bacilli,1068,,1,0,0,1,0,0,0,100,0,0.019249182349643845,NonInhibitory,Firmicutes,1068,,NA,NA
Mada.1986,Bacilli,1299,,1,1,0,0,0,100,0,0,0,0.009654938539006484,NonInhibitory,Firmicutes,1299,,NA,NA
Mada.2004,Gammaproteobacteria,1080,,1,1,0,0,0,100,0,0,0,0.06011734498111734,Inhibitory,Proteobacteria,1080,,NA,NA
Mada.2012,Actinobacteria,1119,,10,1,4,5,0,10,40,50,0,0.019249182349643845,NonInhibitory,Actinobacteria,1119,,NA,NA
Mada.2023,Gammaproteobacteria,550,,1,1,0,0,0,100,0,0,0,0.0801381050725031,Inhibitory,Proteobacteria,550,,NA,NA
Mada.2024,Alphaproteobacteria,943,,1,1,0,0,0,100,0,0,0,0.1152024409588318,Inhibitory,Proteobacteria,943,,NA,NA
Mada.2046,Bacilli,1277,,2,1,1,0,0,50,50,0,0,0.009594243810637363,NonInhibitory,Firmicutes,1277,,NA,NA
Mada.2102,Gammaproteobacteria,1047,,1,1,0,0,0,100,0,0,0,0.039573998201307706,Inhibitory,Proteobacteria,1047,,NA,NA
Mada.2105,Actinobacteria,1132,,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,1132,,2,1
Mada.211,Alphaproteobacteria,436,,1,0,1,0,0,0,100,0,0,0.038960736414768354,NonInhibitory,Proteobacteria,436,,NA,NA
Mada.2119,Gammaproteobacteria,1049,,1,0,1,0,0,0,100,0,0,0.05897387090442588,NonInhibitory,Proteobacteria,1049,,NA,NA
Mada.212,Alphaproteobacteria,398,,1,0,1,0,0,0,100,0,0,0.028904983265281455,NonInhibitory,Proteobacteria,398,,NA,NA
Mada.2133,Gammaproteobacteria,551,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Proteobacteria,551,,NA,NA
Mada.2154,Actinobacteria,1139,,2,0,2,0,0,0,100,0,0,0.009594243810637363,Inhibitory,Actinobacteria,1139,,NA,NA
Mada.216,Actinobacteria,470,,2,0,2,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,470,,NA,NA
Mada.2173,Actinobacteria,1140,,8,2,0,6,0,25,0,75,0,0.049166595077288225,Inhibitory,Actinobacteria,1140,,NA,NA
Mada.2176,Actinobacteria,1143,,1,0,1,0,0,0,100,0,0,0.01915019210494203,NonInhibitory,Actinobacteria,1143,,NA,NA
Mada.2181,Actinobacteria,554,,2,1,1,0,0,50,50,0,0,0.009594243810637363,Inhibitory,Actinobacteria,554,,2,1
Mada.2187,Alphaproteobacteria,555,,1,0,1,0,0,0,100,0,0,0.0387888067146182,Contam,Proteobacteria,555,,NA,NA
Mada.2204,Actinobacteria,1099,,1,0,1,0,0,0,100,0,0,0.05926494137116682,NonInhibitory,Actinobacteria,1099,,NA,NA
Mada.221,Actinobacteria,513,,2,2,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,513,,2,1
Mada.2215,Alphaproteobacteria,556,,1,0,1,0,0,0,100,0,0,0.01915019210494203,NonInhibitory,Proteobacteria,556,,NA,NA
Mada.2226,Betaproteobacteria,1040,,1,1,0,0,0,100,0,0,0,0.07051925528177434,NonInhibitory,Proteobacteria,1040,,NA,NA
Mada.2243,Gammaproteobacteria,1031,,1,0,1,0,0,0,100,0,0,0.05897387090442588,NonInhibitory,Proteobacteria,1031,,NA,NA
Mada.2267,Actinobacteria,924,,1,0,1,0,0,0,100,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,924,,NA,NA
Mada.2269,Actinobacteria,1104,,7,4,2,0,1,57.14285714285714,28.57142857142857,0,14.285714285714285,0.019249182349643845,NonInhibitory,Actinobacteria,1104,,4,1
Mada.2287,Actinobacteria,1094,,1,0,0,1,0,0,0,100,0,0.009594243810637363,NonInhibitory,Actinobacteria,1094,,NA,NA
Mada.229,Actinobacteria,415,,1,0,1,0,0,0,100,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,415,,NA,NA
Mada.2297,Actinobacteria,925,,3,2,0,1,0,66.66666666666666,0,33.33333333333333,0,0.009594243810637363,Inhibitory,Actinobacteria,925,,NA,NA
Mada.2301,Bacilli,1032,,8,0,6,2,0,0,75,25,0,0.019249182349643845,NonInhibitory,Firmicutes,1032,,NA,NA
Mada.2307,Actinobacteria,1105,,2,2,0,0,0,100,0,0,0,0.009594243810637363,Inhibitory,Actinobacteria,1105,,NA,NA
Mada.2314,Gammaproteobacteria,1035,,1,1,0,0,0,100,0,0,0,0.1038399010748283,Inhibitory,Proteobacteria,1035,,NA,NA
Mada.2316,Alphaproteobacteria,1161,,2,0,2,0,0,0,100,0,0,0.01915019210494203,Inhibitory,Proteobacteria,1161,,NA,NA
Mada.2324,Gammaproteobacteria,87,,1,1,0,0,0,100,0,0,0,NA,Inhibitory,Proteobacteria,87,,NA,NA
Mada.2325,Bacilli,558,,8,0,6,1,0,0,75,12.5,0,0.009594243810637363,Inhibitory,Firmicutes,558,,NA,NA
Mada.2339,Sphingobacteriia,856,,4,0,0,4,0,0,0,100,0,0.0612391129476996,Inhibitory,Bacteroidetes,856,,NA,NA
Mada.2340,Actinobacteria,27,,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,27,,NA,NA
Mada.2343,Actinobacteria,915,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,915,,NA,NA
Mada.2346,Actinobacteria,28,,8,2,6,0,0,25,75,0,0,0.009594243810637363,Inhibitory,Actinobacteria,28,,NA,NA
Mada.2349,Actinobacteria,21,,21,7,12,2,0,33.33333333333333,57.14285714285714,9.523809523809524,0,0.02894563882396223,NonInhibitory,Actinobacteria,21,,7,3
Mada.235,Actinobacteria,471,,1,0,0,0,1,0,0,0,100,0.009594243810637363,NonInhibitory,Actinobacteria,471,,NA,NA
Mada.2350,Actinobacteria,44,,30,4,24,1,1,13.333333333333334,80,3.3333333333333335,3.3333333333333335,0.019249182349643845,NonInhibitory,Actinobacteria,44,,4,5
Mada.2353,Actinobacteria,448,,1,1,0,0,0,100,0,0,0,0.009594243810637363,NA,Actinobacteria,448,,NA,NA
Mada.236,Actinobacteria,487,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,487,,NA,NA
Mada.2362,Sphingobacteriia,11,,4,2,0,2,0,50,0,50,0,0.0612391129476996,Inhibitory,Bacteroidetes,11,,NA,NA
Mada.2364,Actinobacteria,45,,2,1,1,0,0,50,50,0,0,0.009594243810637363,Inhibitory,Actinobacteria,45,,NA,NA
Mada.2365,Actinobacteria,22,,1,0,1,0,0,0,100,0,0,0.01927178746845714,Inhibitory,Actinobacteria,22,,NA,NA
Mada.2367,Bacilli,52,,13,2,10,0,1,15.384615384615385,76.92307692307693,0,7.6923076923076925,0.019249182349643845,NonInhibitory,Firmicutes,52,,NA,NA
Mada.2370,Actinobacteria,29,,4,3,1,0,0,75,25,0,0,0.019249182349643845,Inhibitory,Actinobacteria,29,,NA,NA
Mada.2373,Gammaproteobacteria,437,,1,0,1,0,0,0,100,0,0,0.019249182349643845,Inhibitory,Proteobacteria,437,,NA,NA
Mada.2375,Actinobacteria,46,,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,46,,2,1
Mada.2377,Actinobacteria,34,,11,6,2,2,0,54.54545454545454,18.181818181818183,18.181818181818183,0,0.019249182349643845,Inhibitory,Actinobacteria,34,,NA,NA
Mada.2378,Actinobacteria,35,,1,1,0,0,0,100,0,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,35,,NA,NA
Mada.2383,Actinobacteria,20,,4,1,3,0,0,25,75,0,0,0.019249182349643845,Inhibitory,Actinobacteria,20,,NA,NA
Mada.2385,Actinobacteria,24,,6,3,3,0,0,50,50,0,0,0.01927178746845714,NonInhibitory,Actinobacteria,24,,NA,NA
Mada.2387,Bacilli,53,,7,0,5,2,0,0,71.42857142857143,28.57142857142857,0,0.009594243810637363,NonInhibitory,Firmicutes,53,,NA,NA
Mada.239,Actinobacteria,488,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,488,,NA,NA
Mada.2393,Actinobacteria,63,,1,1,0,0,0,100,0,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,63,,NA,NA
Mada.2394,Bacilli,36,,2,0,1,1,0,0,50,50,0,0.058935623130406484,NonInhibitory,Firmicutes,36,,NA,NA
Mada.2397,Actinobacteria,30,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,30,,NA,NA
Mada.2400,Gammaproteobacteria,140,,5,1,3,1,0,20,60,20,0,0.049210951519452845,NonInhibitory,Proteobacteria,140,,NA,NA
Mada.2401,Bacilli,37,,9,4,4,1,0,44.44444444444444,44.44444444444444,11.11111111111111,0,0.009594243810637363,NonInhibitory,Firmicutes,37,,4,1
Mada.2402,Actinobacteria,25,,2,2,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,25,,NA,NA
Mada.2408,Actinobacteria,449,,1,1,0,0,0,100,0,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,449,,NA,NA
Mada.241,Actinobacteria,749,,1,1,0,0,0,100,0,0,0,0.019249182349643845,Inhibitory,Actinobacteria,749,,NA,NA
Mada.2411,Actinobacteria,38,,1,1,0,0,0,100,0,0,0,0.009654938539006484,NonInhibitory,Actinobacteria,38,,NA,NA
Mada.2413,Actinobacteria,31,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,31,,NA,NA
Mada.2417,Actinobacteria,463,,1,0,1,0,0,0,100,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,463,,NA,NA
Mada.2420,Actinobacteria,32,,6,6,0,0,0,100,0,0,0,0.009594243810637363,Inhibitory,Actinobacteria,32,,NA,NA
Mada.2423,Actinobacteria,39,,3,0,2,1,0,0,66.66666666666666,33.33333333333333,0,0.009594243810637363,NonInhibitory,Actinobacteria,39,,NA,NA
Mada.2424,Actinobacteria,58,,1,1,0,0,0,100,0,0,0,0.02894563882396223,NonInhibitory,Actinobacteria,58,,NA,NA
Mada.2425,Actinobacteria,48,,5,1,3,1,0,20,60,20,0,0.009594243810637363,NonInhibitory,Actinobacteria,48,,NA,NA
Mada.2427,Actinobacteria,61,,1,0,1,0,0,0,100,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,61,,NA,NA
Mada.2431,Actinobacteria,54,,1,1,0,0,0,100,0,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,54,,NA,NA
Mada.2434,Actinobacteria,65,,4,2,2,0,0,50,50,0,0,0.009594243810637363,NonInhibitory,Actinobacteria,65,,2,2
